"","date","group","cum_cases","cases","cum_deaths","deaths","cum_recovered","recovered","infected"
"1",2020-01-26,"CAZ",0,0,0,0,0,0,0
"2",2020-01-27,"CAZ",1,0,0,0,0,0,1
"3",2020-01-28,"CAZ",1,0,0,0,0,0,1
"4",2020-01-29,"CAZ",1,0,0,0,0,0,1
"5",2020-01-30,"CAZ",1,0,0,0,0,0,1
"6",2020-01-31,"CAZ",1,0,0,0,0,0,1
"7",2020-02-01,"CAZ",1,0,0,0,0,0,1
"8",2020-02-02,"CAZ",1,0,0,0,0,0,1
"9",2020-02-03,"CAZ",1,0,0,0,0,0,1
"10",2020-02-04,"CAZ",1,0,0,0,0,0,1
"11",2020-02-05,"CAZ",1,0,0,0,0,0,1
"12",2020-02-06,"CAZ",1,0,0,0,0,0,1
"13",2020-02-07,"CAZ",1,0,0,0,0,0,1
"14",2020-02-08,"CAZ",1,0,0,0,0,0,1
"15",2020-02-09,"CAZ",1,0,0,0,0,0,1
"16",2020-02-10,"CAZ",1,0,0,0,0,0,1
"17",2020-02-11,"CAZ",1,0,0,0,0,0,1
"18",2020-02-12,"CAZ",1,0,0,0,0,0,1
"19",2020-02-13,"CAZ",1,0,0,0,0,0,1
"20",2020-02-14,"CAZ",1,0,0,0,0,0,1
"21",2020-02-15,"CAZ",1,0,0,0,0,0,1
"22",2020-02-16,"CAZ",1,0,0,0,0,0,1
"23",2020-02-17,"CAZ",1,0,0,0,0,0,1
"24",2020-02-18,"CAZ",1,0,0,0,0,0,1
"25",2020-02-19,"CAZ",1,0,0,0,0,0,1
"26",2020-02-20,"CAZ",1,0,0,0,0,0,1
"27",2020-02-21,"CAZ",1,0,0,0,0,0,1
"28",2020-02-22,"CAZ",1,0,0,0,0,0,1
"29",2020-02-23,"CAZ",1,0,0,0,0,0,1
"30",2020-02-24,"CAZ",1,0,0,0,0,0,1
"31",2020-02-25,"CAZ",1,0,0,0,0,0,1
"32",2020-02-26,"CAZ",1,0,0,0,0,0,1
"33",2020-02-27,"CAZ",1,0,0,0,0,0,1
"34",2020-02-28,"CAZ",1,0,0,0,0,0,1
"35",2020-02-29,"CAZ",1,0,0,0,0,0,1
"36",2020-03-01,"CAZ",1,0,0,0,0,0,1
"37",2020-03-02,"CAZ",1,0,0,0,0,0,1
"38",2020-03-03,"CAZ",2,1,0,0,0,0,2
"39",2020-03-04,"CAZ",2,0,0,0,0,0,2
"40",2020-03-05,"CAZ",2,0,0,0,0,0,2
"41",2020-03-06,"CAZ",2,0,0,0,0,0,2
"42",2020-03-07,"CAZ",2,0,0,0,0,0,2
"43",2020-03-08,"CAZ",2,0,0,0,0,0,2
"44",2020-03-09,"CAZ",2,0,0,0,0,0,2
"45",2020-03-10,"CAZ",2,0,0,0,0,0,2
"46",2020-03-11,"CAZ",3,1,0,0,0,0,3
"47",2020-03-12,"CAZ",3,0,0,0,0,0,3
"48",2020-03-13,"CAZ",3,0,0,0,0,0,3
"49",2020-03-14,"CAZ",4,1,0,0,0,0,4
"50",2020-03-15,"CAZ",4,0,0,0,0,0,4
"51",2020-03-16,"CAZ",8,4,0,0,0,0,8
"52",2020-03-17,"CAZ",9,1,0,0,1,1,8
"53",2020-03-18,"CAZ",11,2,0,0,1,0,10
"54",2020-03-19,"CAZ",22,11,0,0,1,0,21
"55",2020-03-20,"CAZ",34,12,1,1,1,0,32
"56",2020-03-21,"CAZ",49,15,1,0,1,0,47
"57",2020-03-22,"CAZ",81,32,2,1,1,0,78
"58",2020-03-23,"CAZ",139,58,2,0,1,0,136
"59",2020-03-24,"CAZ",199,60,2,0,1,0,196
"60",2020-03-25,"CAZ",251,52,2,0,2,1,247
"61",2020-03-26,"CAZ",299,48,4,2,2,0,293
"62",2020-03-27,"CAZ",399,100,5,1,2,0,392
"63",2020-03-28,"CAZ",454,55,5,0,3,1,446
"64",2020-03-29,"CAZ",546,92,5,0,3,0,538
"65",2020-03-30,"CAZ",690,144,5,0,6,3,679
"66",2020-03-31,"CAZ",791,101,8,3,7,1,776
"67",2020-04-01,"CAZ",871,80,8,0,8,1,855
"68",2020-04-02,"CAZ",961,90,12,4,17,9,932
"69",2020-04-03,"CAZ",1049,88,17,5,26,9,1006
"70",2020-04-04,"CAZ",1171,122,28,11,38,12,1105
"71",2020-04-05,"CAZ",1326,155,31,3,63,25,1232
"72",2020-04-06,"CAZ",1433,107,31,0,109,46,1293
"73",2020-04-07,"CAZ",1495,62,35,4,157,48,1303
"74",2020-04-08,"CAZ",1559,64,37,2,199,42,1323
"75",2020-04-09,"CAZ",1689,130,39,2,236,37,1414
"76",2020-04-10,"CAZ",1741,52,41,2,315,79,1385
"77",2020-04-11,"CAZ",1891,150,47,6,359,44,1485
"78",2020-04-12,"CAZ",1960,69,48,1,432,73,1480
"79",2020-04-13,"CAZ",2020,60,52,4,548,116,1420
"80",2020-04-14,"CAZ",2056,36,54,2,626,78,1376
"81",2020-04-15,"CAZ",2146,90,60,6,690,64,1396
"82",2020-04-16,"CAZ",2264,118,64,4,759,69,1441
"83",2020-04-17,"CAZ",2404,140,69,5,826,67,1509
"84",2020-04-18,"CAZ",2491,87,70,1,915,89,1506
"85",2020-04-19,"CAZ",2589,98,75,5,1038,123,1476
"86",2020-04-20,"CAZ",2636,47,75,0,1125,87,1436
"87",2020-04-21,"CAZ",2738,102,84,9,1174,49,1480
"88",2020-04-22,"CAZ",2846,108,97,13,1226,52,1523
"89",2020-04-23,"CAZ",2970,124,115,18,1335,109,1520
"90",2020-04-24,"CAZ",3116,146,120,5,1387,52,1609
"91",2020-04-25,"CAZ",3234,118,121,1,1514,127,1599
"92",2020-04-26,"CAZ",3359,125,122,1,1578,64,1659
"93",2020-04-27,"CAZ",3457,98,122,0,1633,55,1702
"94",2020-04-28,"CAZ",3578,121,137,15,1679,46,1762
"95",2020-04-29,"CAZ",3723,145,140,3,1757,78,1826
"96",2020-04-30,"CAZ",3972,249,145,5,1868,111,1959
"97",2020-05-01,"CAZ",4156,184,147,2,2005,137,2004
"98",2020-05-02,"CAZ",4421,265,159,12,2092,87,2170
"99",2020-05-03,"CAZ",4585,164,168,9,2183,91,2234
"100",2020-05-04,"CAZ",4751,166,168,0,2237,54,2346
"101",2020-05-05,"CAZ",4929,178,175,7,2329,92,2425
"102",2020-05-06,"CAZ",5138,209,186,11,2427,98,2525
"103",2020-05-07,"CAZ",5196,58,204,18,2543,116,2449
"104",2020-05-08,"CAZ",5525,329,238,34,2676,133,2611
"105",2020-05-09,"CAZ",5779,254,245,7,2782,106,2752
"106",2020-05-10,"CAZ",5827,48,247,2,2893,111,2687
"107",2020-05-11,"CAZ",5988,161,250,3,2998,105,2740
"108",2020-05-12,"CAZ",6219,231,259,9,3092,94,2868
"109",2020-05-13,"CAZ",6341,122,281,22,3234,142,2826
"110",2020-05-14,"CAZ",6599,258,292,11,3443,209,2864
"111",2020-05-15,"CAZ",6821,222,302,10,3600,157,2919
"112",2020-05-16,"CAZ",7096,275,319,17,3809,209,2968
"113",2020-05-17,"CAZ",7240,144,319,0,3950,141,2971
"114",2020-05-18,"CAZ",7340,100,324,5,4106,156,2910
"115",2020-05-19,"CAZ",7482,142,339,15,4270,164,2873
"116",2020-05-20,"CAZ",7644,162,357,18,4445,175,2842
"117",2020-05-21,"CAZ",7835,191,361,4,4495,50,2979
"118",2020-05-22,"CAZ",7950,115,368,7,4741,246,2841
"119",2020-05-23,"CAZ",8177,227,383,15,4957,216,2837
"120",2020-05-24,"CAZ",8277,100,384,1,5013,56,2880
"121",2020-05-25,"CAZ",8379,102,385,1,5161,148,2833
"122",2020-05-26,"CAZ",8448,69,384,-1,5367,206,2697
"123",2020-05-27,"CAZ",8627,179,397,13,5470,103,2760
"124",2020-05-28,"CAZ",8896,269,403,6,5692,222,2801
"125",2020-05-29,"CAZ",9112,216,419,16,5882,190,2811
"126",2020-05-30,"CAZ",9522,410,430,11,6109,227,2983
"127",2020-05-31,"CAZ",9815,293,432,2,6252,143,3131
"128",2020-06-01,"CAZ",9937,122,433,1,6377,125,3127
"129",2020-06-02,"CAZ",10536,599,448,15,6515,138,3573
"130",2020-06-03,"CAZ",11068,532,466,18,6681,166,3921
"131",2020-06-04,"CAZ",11229,161,471,5,6862,181,3896
"132",2020-06-05,"CAZ",12091,862,479,8,6981,119,4631
"133",2020-06-06,"CAZ",12761,670,489,10,7185,204,5087
"134",2020-06-07,"CAZ",13498,737,490,1,7304,119,5704
"135",2020-06-08,"CAZ",14003,505,491,1,7393,89,6119
"136",2020-06-09,"CAZ",14374,371,504,13,7508,115,6362
"137",2020-06-10,"CAZ",15282,908,519,15,7690,182,7073
"138",2020-06-11,"CAZ",16148,866,532,13,7910,220,7706
"139",2020-06-12,"CAZ",17023,875,536,4,8101,191,8386
"140",2020-06-13,"CAZ",17791,768,549,13,8465,364,8777
"141",2020-06-14,"CAZ",18692,901,551,2,8718,253,9423
"142",2020-06-15,"CAZ",19372,680,557,6,8864,146,9951
"143",2020-06-16,"CAZ",20775,1403,568,11,9373,509,10834
"144",2020-06-17,"CAZ",22272,1497,579,11,9836,463,11857
"145",2020-06-18,"CAZ",23890,1618,598,19,9990,154,13302
"146",2020-06-19,"CAZ",25999,2109,615,17,10692,702,14692
"147",2020-06-20,"CAZ",28303,2304,633,18,11245,553,16425
"148",2020-06-21,"CAZ",30136,1833,632,-1,11863,618,17641
"149",2020-06-22,"CAZ",31650,1514,634,2,12303,440,18713
"150",2020-06-23,"CAZ",33883,2233,663,29,12612,309,20608
"151",2020-06-24,"CAZ",34993,1110,690,27,13368,756,20935
"152",2020-06-25,"CAZ",37135,2142,694,4,14070,702,22371
"153",2020-06-26,"CAZ",39626,2491,718,24,14787,717,24121
"154",2020-06-27,"CAZ",42374,2748,741,23,15405,618,26228
"155",2020-06-28,"CAZ",44962,2588,746,5,16158,753,28058
"156",2020-06-29,"CAZ",45178,216,746,0,16750,592,27682
"157",2020-06-30,"CAZ",48710,3532,771,25,17903,1153,30036
"158",2020-07-01,"CAZ",52266,3556,817,46,19172,1269,32277
"159",2020-07-02,"CAZ",54757,2491,843,26,20509,1337,33405
"160",2020-07-03,"CAZ",57929,3172,865,22,22207,1698,34857
"161",2020-07-04,"CAZ",59829,1900,880,15,24153,1946,34796
"162",2020-07-05,"CAZ",62296,2467,883,3,25723,1570,35690
"163",2020-07-06,"CAZ",64915,2619,881,-2,26963,1240,37071
"164",2020-07-07,"CAZ",67543,2628,933,52,28898,1935,37712
"165",2020-07-08,"CAZ",70128,2585,959,26,29896,998,39273
"166",2020-07-09,"CAZ",73165,3037,1012,53,31753,1857,40400
"167",2020-07-10,"CAZ",76328,3163,1049,37,33828,2075,41451
"168",2020-07-11,"CAZ",78481,2153,1093,44,36080,2252,41308
"169",2020-07-12,"CAZ",80146,1665,1133,40,38324,2244,40689
"170",2020-07-13,"CAZ",81216,1070,1140,7,38668,344,41408
"171",2020-07-14,"CAZ",84233,3017,1198,58,41648,2980,41387
"172",2020-07-15,"CAZ",86483,2250,1277,79,44607,2959,40599
"173",2020-07-16,"CAZ",88954,2471,1311,34,46759,2152,40884
"174",2020-07-17,"CAZ",91863,2909,1374,63,49414,2655,41075
"175",2020-07-18,"CAZ",93870,2007,1444,70,51200,1786,41226
"176",2020-07-19,"CAZ",95471,1601,1473,29,53468,2268,40530
"177",2020-07-20,"CAZ",96711,1240,1485,12,55885,2417,39341
"178",2020-07-21,"CAZ",98988,2277,1556,71,58364,2479,39068
"179",2020-07-22,"CAZ",100543,1555,1599,43,60869,2505,38075
"180",2020-07-23,"CAZ",102247,1704,1651,52,63622,2753,36974
"181",2020-07-24,"CAZ",104613,2366,1718,67,66426,2804,36469
"182",2020-07-25,"CAZ",107291,2678,1793,75,68554,2128,36944
"183",2020-07-26,"CAZ",108677,1386,1808,15,70070,1516,36799
"184",2020-07-27,"CAZ",109988,1311,1807,-1,71348,1278,36833
"185",2020-07-28,"CAZ",111446,1458,1882,75,74209,2861,35355
"186",2020-07-29,"CAZ",113148,1702,1915,33,76490,2281,34743
"187",2020-07-30,"CAZ",114852,1704,2011,96,78957,2467,33884
"188",2020-07-31,"CAZ",117293,2441,2054,43,81277,2320,33962
"189",2020-08-01,"CAZ",119295,2002,2089,35,83527,2250,33679
"190",2020-08-02,"CAZ",120279,984,2101,12,85487,1960,32691
"191",2020-08-03,"CAZ",120960,681,2108,7,86962,1475,31890
"192",2020-08-04,"CAZ",121789,829,2153,45,89357,2395,30279
"193",2020-08-05,"CAZ",123082,1293,2204,51,90944,1587,29934
"194",2020-08-06,"CAZ",124022,940,2259,55,92758,1814,29005
"195",2020-08-07,"CAZ",124924,902,2307,48,95122,2364,27495
"196",2020-08-08,"CAZ",125545,621,2347,40,97720,2598,25478
"197",2020-08-09,"CAZ",126053,508,2353,6,99328,1608,24372
"198",2020-08-10,"CAZ",126371,318,2356,3,100974,1646,23041
"199",2020-08-11,"CAZ",126791,420,2382,26,102706,1732,21703
"200",2020-08-12,"CAZ",127188,397,2493,111,104463,1757,20232
"201",2020-08-13,"CAZ",127768,580,2517,24,106074,1611,19177
"202",2020-08-14,"CAZ",128352,584,2536,19,108206,2132,17610
"203",2020-08-15,"CAZ",128865,513,2585,49,110371,2165,15909
"204",2020-08-16,"CAZ",129385,520,2596,11,111583,1212,15206
"205",2020-08-17,"CAZ",129562,177,2595,-1,112609,1026,14358
"206",2020-08-18,"CAZ",129958,396,2612,17,113805,1196,13541
"207",2020-08-19,"CAZ",130384,426,2702,90,115187,1382,12495
"208",2020-08-20,"CAZ",130800,416,2739,37,116209,1022,11852
"209",2020-08-21,"CAZ",131166,366,2745,6,117138,929,11283
"210",2020-08-22,"CAZ",131685,519,2776,31,118044,906,10865
"211",2020-08-23,"CAZ",131787,102,2790,14,118748,704,10249
"212",2020-08-24,"CAZ",131962,175,2790,0,119331,583,9841
"213",2020-08-25,"CAZ",132290,328,2804,14,120106,775,9380
"214",2020-08-26,"CAZ",132434,144,2869,65,120855,749,8710
"215",2020-08-27,"CAZ",132704,270,2896,27,121573,718,8235
"216",2020-08-28,"CAZ",132986,282,2924,28,122288,715,7774
"217",2020-08-29,"CAZ",133389,403,2950,26,122936,648,7503
"218",2020-08-30,"CAZ",133641,252,2962,12,123677,741,7002
"219",2020-08-31,"CAZ",133728,87,2961,-1,124141,464,6626
"220",2020-09-01,"CAZ",134004,276,2976,15,124923,782,6105
"221",2020-09-02,"CAZ",134346,342,2995,19,125586,663,5765
"222",2020-09-03,"CAZ",135109,763,3030,35,126083,497,5996
"223",2020-09-04,"CAZ",135495,386,3064,34,126506,423,5925
"224",2020-09-05,"CAZ",135856,361,3088,24,127054,548,5714
"225",2020-09-06,"CAZ",135964,108,3093,5,127372,318,5499
"226",2020-09-07,"CAZ",136004,40,3091,-2,127689,317,5224
"227",2020-09-08,"CAZ",136040,36,3093,2,128111,422,4836
"228",2020-09-09,"CAZ",136324,284,3116,23,128291,180,4917
"229",2020-09-10,"CAZ",136571,247,3133,17,128586,295,4852
"230",2020-09-11,"CAZ",136887,316,3140,7,128852,266,4895
"231",2020-09-12,"CAZ",137292,405,3158,18,129232,380,4902
"232",2020-09-13,"CAZ",137507,215,3154,-4,129482,250,4871
"233",2020-09-14,"CAZ",137589,82,3154,0,129663,181,4772
"234",2020-09-15,"CAZ",137870,281,3172,18,129985,322,4713
"235",2020-09-16,"CAZ",138151,281,3199,27,130336,351,4616
"236",2020-09-17,"CAZ",139051,900,3210,11,131020,684,4821
"237",2020-09-18,"CAZ",139963,912,3245,35,131337,317,5381
"238",2020-09-19,"CAZ",139586,-377,3260,15,131683,346,4643
"239",2020-09-20,"CAZ",139856,270,3261,1,131832,149,4763
"240",2020-09-21,"CAZ",140006,150,3262,1,131942,110,4802
"241",2020-09-22,"CAZ",140314,308,3275,13,132041,99,4998
"242",2020-09-23,"CAZ",140409,95,3304,29,132347,306,4758
"243",2020-09-24,"CAZ",140584,175,3329,25,132549,202,4706
"244",2020-09-25,"CAZ",140753,169,3343,14,132831,282,4579
"245",2020-09-26,"CAZ",140963,210,3363,20,133204,373,4396
"246",2020-09-27,"CAZ",141211,248,3363,0,133395,191,4453
"247",2020-09-28,"CAZ",141377,166,3364,1,133509,114,4504
"248",2020-09-29,"CAZ",141738,361,3372,8,133770,261,4596
"249",2020-09-30,"CAZ",141856,118,3395,23,134048,278,4413
"250",2020-10-01,"CAZ",142287,431,3405,10,134807,759,4075
"251",2020-10-02,"CAZ",142566,279,3416,11,135527,720,3623
"252",2020-10-03,"CAZ",142968,402,3424,8,135265,-262,4279
"253",2020-10-04,"CAZ",143183,215,3426,2,135546,281,4211
"254",2020-10-05,"CAZ",143411,228,3427,1,135810,264,4174
"255",2020-10-06,"CAZ",143917,506,3431,4,136117,307,4369
"256",2020-10-07,"CAZ",144342,425,3450,19,136237,120,4655
"257",2020-10-08,"CAZ",144867,525,3454,4,136378,141,5035
"258",2020-10-09,"CAZ",145298,431,3458,4,136510,132,5330
"259",2020-10-10,"CAZ",145847,549,3466,8,136669,159,5712
"260",2020-10-11,"CAZ",146278,431,3464,-2,136919,250,5895
"261",2020-10-12,"CAZ",146574,296,3464,0,137097,178,6013
"262",2020-10-13,"CAZ",147010,436,3471,7,137441,344,6098
"263",2020-10-14,"CAZ",147551,541,3475,4,137594,153,6482
"264",2020-10-15,"CAZ",148152,601,3489,14,137975,381,6688
"265",2020-10-16,"CAZ",148612,460,3500,11,138207,232,6905
"266",2020-10-17,"CAZ",149202,590,3512,12,138574,367,7116
