"","date","group","cum_cases","cases","cum_deaths","deaths","cum_recovered","recovered","infected"
"1",2020-01-26,"NAZ",0,0,0,0,0,0,0
"2",2020-01-27,"NAZ",0,0,0,0,0,0,0
"3",2020-01-28,"NAZ",0,0,0,0,0,0,0
"4",2020-01-29,"NAZ",0,0,0,0,0,0,0
"5",2020-01-30,"NAZ",0,0,0,0,0,0,0
"6",2020-01-31,"NAZ",0,0,0,0,0,0,0
"7",2020-02-01,"NAZ",0,0,0,0,0,0,0
"8",2020-02-02,"NAZ",0,0,0,0,0,0,0
"9",2020-02-03,"NAZ",0,0,0,0,0,0,0
"10",2020-02-04,"NAZ",0,0,0,0,0,0,0
"11",2020-02-05,"NAZ",0,0,0,0,0,0,0
"12",2020-02-06,"NAZ",0,0,0,0,0,0,0
"13",2020-02-07,"NAZ",0,0,0,0,0,0,0
"14",2020-02-08,"NAZ",0,0,0,0,0,0,0
"15",2020-02-09,"NAZ",0,0,0,0,0,0,0
"16",2020-02-10,"NAZ",0,0,0,0,0,0,0
"17",2020-02-11,"NAZ",0,0,0,0,0,0,0
"18",2020-02-12,"NAZ",0,0,0,0,0,0,0
"19",2020-02-13,"NAZ",0,0,0,0,0,0,0
"20",2020-02-14,"NAZ",0,0,0,0,0,0,0
"21",2020-02-15,"NAZ",0,0,0,0,0,0,0
"22",2020-02-16,"NAZ",0,0,0,0,0,0,0
"23",2020-02-17,"NAZ",0,0,0,0,0,0,0
"24",2020-02-18,"NAZ",0,0,0,0,0,0,0
"25",2020-02-19,"NAZ",0,0,0,0,0,0,0
"26",2020-02-20,"NAZ",0,0,0,0,0,0,0
"27",2020-02-21,"NAZ",0,0,0,0,0,0,0
"28",2020-02-22,"NAZ",0,0,0,0,0,0,0
"29",2020-02-23,"NAZ",0,0,0,0,0,0,0
"30",2020-02-24,"NAZ",0,0,0,0,0,0,0
"31",2020-02-25,"NAZ",0,0,0,0,0,0,0
"32",2020-02-26,"NAZ",0,0,0,0,0,0,0
"33",2020-02-27,"NAZ",0,0,0,0,0,0,0
"34",2020-02-28,"NAZ",0,0,0,0,0,0,0
"35",2020-02-29,"NAZ",0,0,0,0,0,0,0
"36",2020-03-01,"NAZ",0,0,0,0,0,0,0
"37",2020-03-02,"NAZ",0,0,0,0,0,0,0
"38",2020-03-03,"NAZ",0,0,0,0,0,0,0
