"","date","group","cum_cases","cases","cum_deaths","deaths","cum_recovered","recovered","infected"
"1",2020-01-26,"SAZ",0,0,0,0,0,0,0
"2",2020-01-27,"SAZ",0,0,0,0,0,0,0
"3",2020-01-28,"SAZ",0,0,0,0,0,0,0
"4",2020-01-29,"SAZ",0,0,0,0,0,0,0
"5",2020-01-30,"SAZ",0,0,0,0,0,0,0
"6",2020-01-31,"SAZ",0,0,0,0,0,0,0
"7",2020-02-01,"SAZ",0,0,0,0,0,0,0
"8",2020-02-02,"SAZ",0,0,0,0,0,0,0
"9",2020-02-03,"SAZ",0,0,0,0,0,0,0
"10",2020-02-04,"SAZ",0,0,0,0,0,0,0
"11",2020-02-05,"SAZ",0,0,0,0,0,0,0
"12",2020-02-06,"SAZ",0,0,0,0,0,0,0
"13",2020-02-07,"SAZ",0,0,0,0,0,0,0
"14",2020-02-08,"SAZ",0,0,0,0,0,0,0
"15",2020-02-09,"SAZ",0,0,0,0,0,0,0
"16",2020-02-10,"SAZ",0,0,0,0,0,0,0
"17",2020-02-11,"SAZ",0,0,0,0,0,0,0
"18",2020-02-12,"SAZ",0,0,0,0,0,0,0
"19",2020-02-13,"SAZ",0,0,0,0,0,0,0
"20",2020-02-14,"SAZ",0,0,0,0,0,0,0
"21",2020-02-15,"SAZ",0,0,0,0,0,0,0
"22",2020-02-16,"SAZ",0,0,0,0,0,0,0
"23",2020-02-17,"SAZ",0,0,0,0,0,0,0
"24",2020-02-18,"SAZ",0,0,0,0,0,0,0
"25",2020-02-19,"SAZ",0,0,0,0,0,0,0
"26",2020-02-20,"SAZ",0,0,0,0,0,0,0
"27",2020-02-21,"SAZ",0,0,0,0,0,0,0
"28",2020-02-22,"SAZ",0,0,0,0,0,0,0
"29",2020-02-23,"SAZ",0,0,0,0,0,0,0
"30",2020-02-24,"SAZ",0,0,0,0,0,0,0
"31",2020-02-25,"SAZ",0,0,0,0,0,0,0
"32",2020-02-26,"SAZ",0,0,0,0,0,0,0
"33",2020-02-27,"SAZ",0,0,0,0,0,0,0
"34",2020-02-28,"SAZ",0,0,0,0,0,0,0
"35",2020-02-29,"SAZ",0,0,0,0,0,0,0
"36",2020-03-01,"SAZ",0,0,0,0,0,0,0
"37",2020-03-02,"SAZ",0,0,0,0,0,0,0
"38",2020-03-03,"SAZ",0,0,0,0,0,0,0
"39",2020-03-04,"SAZ",0,0,0,0,0,0,0
"40",2020-03-05,"SAZ",0,0,0,0,0,0,0
"41",2020-03-06,"SAZ",1,1,0,0,0,0,1
"42",2020-03-07,"SAZ",3,2,0,0,0,0,3
"43",2020-03-08,"SAZ",3,0,0,0,0,0,3
"44",2020-03-09,"SAZ",4,1,0,0,0,0,4
"45",2020-03-10,"SAZ",4,0,0,0,0,0,4
"46",2020-03-11,"SAZ",6,2,0,0,0,0,6
"47",2020-03-12,"SAZ",6,0,0,0,0,0,6
"48",2020-03-13,"SAZ",6,0,0,0,0,0,6
"49",2020-03-14,"SAZ",8,2,0,0,0,0,8
"50",2020-03-15,"SAZ",9,1,0,0,0,0,9
